epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.9598, device='cuda:0')",0.0,tensor(30.3032),"tensor(1.6866, device='cuda:0')",tensor(46.6500)
0,"tensor(1.6826, device='cuda:0')",0.0,tensor(37.5460),"tensor(1.3824, device='cuda:0')",tensor(49.7300)
1,"tensor(1.1864, device='cuda:0')",0.0,tensor(57.1500),"tensor(1.1940, device='cuda:0')",tensor(59.8800)
0,"tensor(1.6508, device='cuda:0')",0.0,tensor(38.8560),"tensor(1.3244, device='cuda:0')",tensor(52.3200)
1,"tensor(1.1131, device='cuda:0')",0.0,tensor(60.0640),"tensor(1.0019, device='cuda:0')",tensor(65.7200)
2,"tensor(0.8368, device='cuda:0')",0.0,tensor(70.6300),"tensor(1.1007, device='cuda:0')",tensor(65.1800)
0,"tensor(1.9498, device='cuda:0')",0.0,tensor(30.7658),"tensor(1.4277, device='cuda:0')",tensor(48.6100)
1,"tensor(1.6617, device='cuda:0')",0.0,tensor(44.7613),"tensor(1.2610, device='cuda:0')",tensor(57.3800)
2,"tensor(1.5114, device='cuda:0')",0.0,tensor(51.5010),"tensor(0.9765, device='cuda:0')",tensor(66.8700)
0,"tensor(1.6544, device='cuda:0')",0.0,tensor(38.6900),"tensor(1.3115, device='cuda:0')",tensor(52.7900)
1,"tensor(1.1112, device='cuda:0')",0.0,tensor(60.1560),"tensor(1.0755, device='cuda:0')",tensor(64.9100)
0,"tensor(2.1582, device='cuda:0')",0.0,tensor(22.2400),"tensor(1.8314, device='cuda:0')",tensor(30.8200)
1,"tensor(1.7519, device='cuda:0')",0.0,tensor(33.7900),"tensor(1.7490, device='cuda:0')",tensor(36.0400)
2,"tensor(1.6085, device='cuda:0')",0.0,tensor(39.8200),"tensor(1.5326, device='cuda:0')",tensor(42.7700)
0,"tensor(1.9436, device='cuda:0')",0.0,tensor(29.0023),"tensor(1.5888, device='cuda:0')",tensor(46.2400)
1,"tensor(1.5922, device='cuda:0')",0.0,tensor(44.9285),"tensor(1.1950, device='cuda:0')",tensor(59.1400)
0,"tensor(2.0415, device='cuda:0')",0.0,tensor(26.1348),"tensor(2.2379, device='cuda:0')",tensor(38.7600)
1,"tensor(1.7804, device='cuda:0')",0.0,tensor(38.7965),"tensor(1.3327, device='cuda:0')",tensor(54.5900)
0,"tensor(1.9153, device='cuda:0')",0.0,tensor(30.5888),"tensor(1.5148, device='cuda:0')",tensor(45.6200)
0,"tensor(2.1650, device='cuda:0')",0.0,tensor(19.3180),"tensor(1.9191, device='cuda:0')",tensor(25.3200)
1,"tensor(1.8347, device='cuda:0')",0.0,tensor(28.7020),"tensor(1.8259, device='cuda:0')",tensor(33.8800)
0,"tensor(2.0281, device='cuda:0')",0.0,tensor(26.4277),"tensor(1.5130, device='cuda:0')",tensor(44.0500)
2,"tensor(1.6239, device='cuda:0')",0.0,tensor(38.7260),"tensor(1.5495, device='cuda:0')",tensor(42.3100)
1,"tensor(1.7771, device='cuda:0')",0.0,tensor(38.9597),"tensor(1.2823, device='cuda:0')",tensor(55.7800)
3,"tensor(1.4638, device='cuda:0')",0.0,tensor(45.7560),"tensor(1.3491, device='cuda:0')",tensor(50.4700)
2,"tensor(1.6185, device='cuda:0')",0.0,tensor(46.5229),"tensor(1.0859, device='cuda:0')",tensor(63.8200)
4,"tensor(1.3044, device='cuda:0')",0.0,tensor(52.4380),"tensor(1.3886, device='cuda:0')",tensor(50.3500)
3,"tensor(1.4963, device='cuda:0')",0.0,tensor(52.5488),"tensor(1.1042, device='cuda:0')",tensor(65.5500)
5,"tensor(1.1440, device='cuda:0')",0.0,tensor(59.0840),"tensor(1.1126, device='cuda:0')",tensor(60.4700)
4,"tensor(1.4076, device='cuda:0')",0.0,tensor(56.1128),"tensor(0.8133, device='cuda:0')",tensor(75.3800)
6,"tensor(1.0275, device='cuda:0')",0.0,tensor(63.4740),"tensor(1.1298, device='cuda:0')",tensor(60.8800)
5,"tensor(1.3670, device='cuda:0')",0.0,tensor(57.6637),"tensor(0.7592, device='cuda:0')",tensor(77.7900)
7,"tensor(0.9090, device='cuda:0')",0.0,tensor(67.8860),"tensor(1.0341, device='cuda:0')",tensor(64.5200)
6,"tensor(1.3132, device='cuda:0')",0.0,tensor(59.9198),"tensor(0.6830, device='cuda:0')",tensor(79.9500)
8,"tensor(0.8078, device='cuda:0')",0.0,tensor(71.4580),"tensor(0.8623, device='cuda:0')",tensor(71.4900)
7,"tensor(1.3261, device='cuda:0')",0.0,tensor(59.1767),"tensor(0.7457, device='cuda:0')",tensor(80.5800)
9,"tensor(0.7262, device='cuda:0')",0.0,tensor(74.5420),"tensor(0.8015, device='cuda:0')",tensor(72.6400)
8,"tensor(1.2663, device='cuda:0')",0.0,tensor(61.3154),"tensor(0.6652, device='cuda:0')",tensor(81.6500)
10,"tensor(0.6428, device='cuda:0')",0.0,tensor(77.7440),"tensor(0.7626, device='cuda:0')",tensor(74.8800)
9,"tensor(1.2192, device='cuda:0')",0.0,tensor(62.8152),"tensor(0.5818, device='cuda:0')",tensor(83.8700)
11,"tensor(0.5675, device='cuda:0')",0.0,tensor(80.2160),"tensor(0.6359, device='cuda:0')",tensor(78.8900)
10,"tensor(1.1996, device='cuda:0')",0.0,tensor(63.7674),"tensor(0.6198, device='cuda:0')",tensor(82.1100)
12,"tensor(0.5137, device='cuda:0')",0.0,tensor(82.2280),"tensor(0.6349, device='cuda:0')",tensor(79.1400)
11,"tensor(1.2236, device='cuda:0')",0.0,tensor(62.8940),"tensor(0.5979, device='cuda:0')",tensor(84.1900)
13,"tensor(0.4658, device='cuda:0')",0.0,tensor(84.0700),"tensor(0.5634, device='cuda:0')",tensor(81.5400)
0,"tensor(1.9489, device='cuda:0')",0.0,tensor(28.6979),"tensor(1.4208, device='cuda:0')",tensor(47.9300)
12,"tensor(1.1810, device='cuda:0')",0.0,tensor(64.5354),"tensor(0.6034, device='cuda:0')",tensor(83.6500)
14,"tensor(0.4368, device='cuda:0')",0.0,tensor(84.8380),"tensor(0.4918, device='cuda:0')",tensor(83.4400)
1,"tensor(1.5828, device='cuda:0')",0.0,tensor(45.2026),"tensor(1.1363, device='cuda:0')",tensor(61.0500)
13,"tensor(1.1584, device='cuda:0')",0.0,tensor(65.3775),"tensor(0.5808, device='cuda:0')",tensor(83.7300)
15,"tensor(0.3988, device='cuda:0')",0.0,tensor(86.2680),"tensor(0.4570, device='cuda:0')",tensor(84.6100)
14,"tensor(1.1262, device='cuda:0')",0.0,tensor(66.5087),"tensor(0.5590, device='cuda:0')",tensor(85.6100)
2,"tensor(1.3765, device='cuda:0')",0.0,tensor(53.8906),"tensor(0.8948, device='cuda:0')",tensor(69.3000)
16,"tensor(0.3709, device='cuda:0')",0.0,tensor(87.1840),"tensor(0.4459, device='cuda:0')",tensor(84.9600)
